epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,4372.67,0.96856,0.69441,1.34065,0.93877,0.93869,0.97142,0.62222,1.36692,0.63032,1.83997,0.0010298,0.0010298,0.0010298
100,4418.01,0.9659,0.69875,1.33364,0.95782,0.95918,0.98812,0.64874,1.28624,0.52652,1.74899,0.0010199,0.0010199,0.0010199
101,4460.87,0.96118,0.67645,1.32296,0.96046,0.99148,0.98984,0.64123,1.22311,0.57355,1.70059,0.00101,0.00101,0.00101
102,4504.96,0.98181,0.67453,1.34884,0.88663,0.95764,0.9645,0.60215,1.30714,0.58466,1.75844,0.0010001,0.0010001,0.0010001
103,4549.24,0.9627,0.66695,1.32268,0.93729,0.93878,0.97661,0.63736,1.30964,0.58436,1.73503,0.0009902,0.0009902,0.0009902
104,4591.64,0.97357,0.67681,1.33629,0.93697,0.93878,0.98219,0.63316,1.32791,0.58679,1.77026,0.0009803,0.0009803,0.0009803
105,4638.46,0.95972,0.66476,1.32999,0.95997,0.97876,0.9702,0.64367,1.27991,0.522,1.75835,0.0009704,0.0009704,0.0009704
106,4681.43,0.95712,0.66217,1.32551,0.90383,0.95918,0.96537,0.6097,1.31218,0.57756,1.73234,0.0009605,0.0009605,0.0009605
107,4726.9,0.95457,0.65626,1.32175,0.93739,0.95918,0.97406,0.6163,1.28072,0.56797,1.74252,0.0009506,0.0009506,0.0009506
108,4769.94,0.93667,0.64348,1.30138,0.90569,0.97997,0.98619,0.62594,1.31661,0.53241,1.77658,0.0009407,0.0009407,0.0009407
109,4814.52,0.96469,0.66736,1.32219,0.94197,0.91837,0.9722,0.62522,1.24859,0.61802,1.68822,0.0009308,0.0009308,0.0009308
110,4859.25,0.94853,0.66003,1.31883,0.90375,0.95818,0.9787,0.63364,1.31343,0.58,1.75548,0.0009209,0.0009209,0.0009209
111,4901.56,0.9475,0.64502,1.3179,0.93995,0.95837,0.95182,0.62178,1.29883,0.55305,1.79234,0.000911,0.000911,0.000911
112,4947.86,0.95704,0.64706,1.32063,0.92019,0.95918,0.97753,0.62569,1.28577,0.57433,1.76692,0.0009011,0.0009011,0.0009011
113,4990.61,0.92758,0.62915,1.31015,0.90669,0.99166,0.97847,0.62784,1.30257,0.58216,1.74867,0.0008912,0.0008912,0.0008912
114,5036.59,0.9256,0.62927,1.2929,0.93604,0.93878,0.96408,0.6135,1.34605,0.57518,1.79833,0.0008813,0.0008813,0.0008813
115,5079.45,0.91511,0.62879,1.287,0.93515,0.93878,0.95997,0.62421,1.35531,0.61936,1.89529,0.0008714,0.0008714,0.0008714
116,5121.62,0.93817,0.6544,1.30742,0.97954,0.97716,0.97976,0.60366,1.36483,0.52906,1.82421,0.0008615,0.0008615,0.0008615
117,5167.69,0.93252,0.63842,1.30467,0.95962,0.96997,0.98346,0.624,1.28752,0.526,1.76354,0.0008516,0.0008516,0.0008516
118,5210.05,0.92652,0.6276,1.299,0.97627,1,0.9858,0.6319,1.37135,0.54099,1.83325,0.0008417,0.0008417,0.0008417
119,5256.02,0.91817,0.61849,1.28821,0.9598,0.97449,0.97719,0.63475,1.31504,0.56922,1.75483,0.0008318,0.0008318,0.0008318
120,5299,0.9201,0.61341,1.29203,0.97377,0.93878,0.97326,0.62502,1.3677,0.59636,1.82577,0.0008219,0.0008219,0.0008219
121,5345.04,0.92062,0.63607,1.2955,0.93952,0.95918,0.95557,0.64765,1.29393,0.52571,1.76453,0.000812,0.000812,0.000812
122,5387.82,0.89978,0.61584,1.27533,0.93727,0.97959,0.97388,0.635,1.30536,0.51156,1.78464,0.0008021,0.0008021,0.0008021
123,5432.74,0.92814,0.63186,1.30803,0.95556,0.95918,0.97208,0.62282,1.35244,0.5538,1.84699,0.0007922,0.0007922,0.0007922
124,5475.9,0.91272,0.62945,1.29777,0.95763,0.97959,0.98934,0.59993,1.40616,0.50525,1.94163,0.0007823,0.0007823,0.0007823
125,5518.86,0.90335,0.61875,1.29502,0.97478,0.95918,0.99088,0.64738,1.29413,0.50412,1.77003,0.0007724,0.0007724,0.0007724
126,5564.86,0.89803,0.59972,1.28004,0.96067,1,0.99222,0.63264,1.37522,0.54211,1.81073,0.0007625,0.0007625,0.0007625
127,5607.32,0.89085,0.61254,1.277,0.95817,0.95918,0.98462,0.62907,1.32767,0.57251,1.78498,0.0007526,0.0007526,0.0007526
128,5653.02,0.90547,0.60289,1.27716,0.93659,0.95918,0.97154,0.6352,1.30923,0.52161,1.80074,0.0007427,0.0007427,0.0007427
129,5695.7,0.89319,0.60625,1.27485,0.9605,0.99257,0.98619,0.66667,1.24011,0.51036,1.67521,0.0007328,0.0007328,0.0007328
130,5740.43,0.88077,0.58865,1.26941,0.95883,0.97959,0.97835,0.63723,1.32586,0.49769,1.86993,0.0007229,0.0007229,0.0007229
131,5784.46,0.89802,0.60321,1.28651,0.92004,0.95918,0.95279,0.63083,1.32534,0.53752,1.81309,0.000713,0.000713,0.000713
132,5827.68,0.88967,0.59425,1.27176,0.92155,0.95899,0.94672,0.62276,1.30902,0.53779,1.80627,0.0007031,0.0007031,0.0007031
133,5872.49,0.87576,0.59274,1.26343,0.92149,0.95822,0.96674,0.63999,1.30412,0.50779,1.77711,0.0006932,0.0006932,0.0006932
134,5915.38,0.86551,0.58007,1.26303,0.93425,0.97959,0.98089,0.64269,1.2778,0.50119,1.73174,0.0006833,0.0006833,0.0006833
135,5960.61,0.87191,0.57979,1.26493,0.92032,0.95918,0.96792,0.63359,1.31389,0.52784,1.78272,0.0006734,0.0006734,0.0006734
136,6004.21,0.89233,0.59672,1.26837,0.94106,0.97755,0.9723,0.6213,1.3646,0.53269,1.83701,0.0006635,0.0006635,0.0006635
137,6047.52,0.86783,0.58488,1.26383,0.93893,0.95918,0.95419,0.6386,1.34916,0.51807,1.87031,0.0006536,0.0006536,0.0006536
138,6094.11,0.8647,0.58107,1.26321,0.9605,0.99252,0.98584,0.65692,1.3379,0.52062,1.80206,0.0006437,0.0006437,0.0006437
139,6137.32,0.88761,0.59159,1.2747,0.94101,0.97674,0.96938,0.63582,1.32644,0.53698,1.75117,0.0006338,0.0006338,0.0006338
140,6182.54,0.85185,0.57208,1.24563,0.91873,0.97959,0.96941,0.60955,1.32027,0.64868,1.81415,0.0006239,0.0006239,0.0006239
141,6225.83,0.85775,0.57646,1.25077,0.94113,0.97877,0.9699,0.63695,1.3482,0.50968,1.83881,0.000614,0.000614,0.000614
142,6268.54,0.86846,0.57919,1.26278,0.94111,0.97841,0.96607,0.64814,1.28107,0.51707,1.75925,0.0006041,0.0006041,0.0006041
143,6314.77,0.86251,0.5929,1.25512,0.94147,0.98491,0.98024,0.60929,1.42056,0.54566,1.90033,0.0005942,0.0005942,0.0005942
144,6356.71,0.86231,0.5665,1.2574,0.93966,0.95353,0.95231,0.59177,1.3785,0.53497,1.86355,0.0005843,0.0005843,0.0005843
145,6402.07,0.85604,0.56657,1.24841,0.93741,0.95918,0.9542,0.6018,1.36683,0.50398,1.86402,0.0005744,0.0005744,0.0005744
146,6445.3,0.84895,0.55393,1.23906,0.94,0.95918,0.95361,0.61175,1.37951,0.51926,1.88376,0.0005645,0.0005645,0.0005645
147,6487.29,0.84169,0.56245,1.23348,0.95883,0.95068,0.97432,0.61974,1.33601,0.54788,1.75106,0.0005546,0.0005546,0.0005546
148,6532.78,0.85411,0.56312,1.24117,0.94098,0.97623,0.98284,0.62342,1.26597,0.4952,1.73861,0.0005447,0.0005447,0.0005447
149,6576.03,0.84088,0.54817,1.24063,0.9579,0.92886,0.96667,0.6361,1.26673,0.51375,1.70604,0.0005348,0.0005348,0.0005348
150,6621.71,0.84944,0.55945,1.24371,0.92015,0.94076,0.96805,0.62365,1.32942,0.56791,1.78531,0.0005249,0.0005249,0.0005249
151,6665.02,0.82339,0.54601,1.22576,0.95911,0.95748,0.97976,0.62063,1.36744,0.53774,1.84184,0.000515,0.000515,0.000515
152,6709.29,0.83794,0.5627,1.23705,0.89887,0.97959,0.95456,0.63949,1.26953,0.50092,1.75526,0.0005051,0.0005051,0.0005051
153,6753.84,0.82973,0.55778,1.23411,0.936,0.91837,0.94897,0.60914,1.26666,0.61738,1.75163,0.0004952,0.0004952,0.0004952
154,6796.81,0.83309,0.55671,1.23191,0.93986,0.95678,0.96091,0.62255,1.33016,0.53429,1.85572,0.0004853,0.0004853,0.0004853
155,6843.56,0.82884,0.55027,1.22527,0.93982,0.95616,0.96708,0.60659,1.33698,0.51881,1.84505,0.0004754,0.0004754,0.0004754
156,6886.22,0.81747,0.54556,1.21891,0.94067,0.97077,0.96578,0.61888,1.37153,0.52369,1.88846,0.0004655,0.0004655,0.0004655
157,6932.51,0.83636,0.55446,1.23507,0.93981,0.95609,0.97001,0.63337,1.32406,0.49274,1.80376,0.0004556,0.0004556,0.0004556
158,6975.03,0.81984,0.55336,1.21967,0.93997,0.95865,0.97354,0.63593,1.33747,0.4873,1.80727,0.0004457,0.0004457,0.0004457
159,7018.28,0.82577,0.5545,1.21694,0.93989,0.95731,0.95438,0.62003,1.36898,0.48956,1.87013,0.0004358,0.0004358,0.0004358
160,7063.32,0.81936,0.55741,1.22686,0.93651,0.93878,0.96143,0.6344,1.40389,0.5145,1.92017,0.0004259,0.0004259,0.0004259
161,7106.38,0.82753,0.54459,1.22502,0.93971,0.95433,0.96364,0.62808,1.38718,0.4911,1.9215,0.000416,0.000416,0.000416
162,7152.6,0.81268,0.53005,1.21411,0.90487,0.97072,0.96353,0.61296,1.33765,0.52617,1.84183,0.0004061,0.0004061,0.0004061
163,7195.72,0.80833,0.53184,1.21659,0.92137,0.95666,0.9652,0.61813,1.36407,0.5372,1.83796,0.0003962,0.0003962,0.0003962
164,7240.16,0.80343,0.54353,1.21658,0.92112,0.95335,0.9649,0.63284,1.32499,0.5823,1.80532,0.0003863,0.0003863,0.0003863
165,7284.66,0.81065,0.53283,1.2207,0.93857,0.93552,0.96552,0.6167,1.37102,0.52555,1.85792,0.0003764,0.0003764,0.0003764
166,7328.83,0.80367,0.52455,1.21012,0.93993,0.95806,0.9624,0.62181,1.37112,0.53787,1.89425,0.0003665,0.0003665,0.0003665
167,7374.78,0.81354,0.53453,1.21931,0.95992,0.97751,0.96477,0.61782,1.41328,0.51628,1.91755,0.0003566,0.0003566,0.0003566
168,7417.11,0.81293,0.53248,1.22075,0.93501,0.91837,0.94579,0.60328,1.39198,0.55306,1.88092,0.0003467,0.0003467,0.0003467
169,7463.55,0.78357,0.51904,1.20153,0.90341,0.95445,0.95525,0.62504,1.33715,0.53385,1.81661,0.0003368,0.0003368,0.0003368
170,7506.08,0.77994,0.50704,1.19859,0.93763,0.93878,0.95215,0.62606,1.28652,0.52428,1.74075,0.0003269,0.0003269,0.0003269
171,7548.84,0.78811,0.52128,1.1983,0.9199,0.93751,0.95573,0.61031,1.38553,0.54744,1.86753,0.000317,0.000317,0.000317
172,7594.6,0.78853,0.51534,1.20309,0.91849,0.95918,0.9522,0.61791,1.35889,0.51973,1.8698,0.0003071,0.0003071,0.0003071
173,7637.49,0.77391,0.50776,1.18652,0.93987,0.95698,0.95097,0.63001,1.34875,0.53284,1.83899,0.0002972,0.0002972,0.0002972
174,7683.53,0.77952,0.51609,1.19301,0.95998,0.97904,0.97914,0.62794,1.32396,0.54808,1.80517,0.0002873,0.0002873,0.0002873
175,7725.85,0.77576,0.50828,1.19243,0.93683,0.95918,0.95511,0.59647,1.44699,0.50855,2.03266,0.0002774,0.0002774,0.0002774
176,7770.8,0.77126,0.50856,1.18982,0.93992,0.95785,0.96145,0.61178,1.42232,0.51372,1.9838,0.0002675,0.0002675,0.0002675
177,7815.22,0.78071,0.51706,1.19481,0.93987,0.95699,0.9651,0.61924,1.40573,0.55444,1.91603,0.0002576,0.0002576,0.0002576
178,7858.32,0.75758,0.5021,1.18455,0.93455,0.93878,0.96352,0.61517,1.41459,0.53607,1.96085,0.0002477,0.0002477,0.0002477
179,7904.97,0.76969,0.50695,1.18853,0.9379,0.93878,0.96482,0.62311,1.44047,0.5125,1.97312,0.0002378,0.0002378,0.0002378
180,7947.95,0.76546,0.50202,1.18828,0.95669,0.95918,0.97899,0.61648,1.44908,0.54065,1.99221,0.0002279,0.0002279,0.0002279
181,7993.38,0.74309,0.48386,1.18054,0.93997,0.95873,0.9673,0.62562,1.37367,0.54082,1.92513,0.000218,0.000218,0.000218
